,results
10,"Sentence[146]: ""Job Description   RN II  ER  Full Time Nights  1705040774  RN II  ER  Full Time NightsDescription Provides nursing care  including triage  treatment and discharge care for the Emergency Department patients  from newborns to geriatrics Qualifications Required Training/Education/Experience/Certification Current CA RN LicenseCurrent BLS  ACLS  PALS CertificationsMust complete TNCC Certification within 6 months of hire or transfer into position Previous Emergency Room experience One year minimum acute care experience Ability to assess and anticipate the needs of the Emergency department patient newborns to geriatrics Ability to learn and use emergency equipment Job NursingPrimary Location CA San Luis ObispoHospital/Facility Sierra Vista Regional Medical CenterJob Type Full timeShift Type NightsJob Number 1705040774JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Training""/In-SK, ""Education""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
11,"Sentence[11]: ""In addition  as Clinical Coordinator assumes specific administrative and management responsibilities"" → [""management""/In-SK]"
12,"Sentence[48]: ""Job Description   RN Clinical Coordinator   OR 1 0FTE  1705038032  RN Clinical Coordinator   OR 1 0FTEDescription Job Summary  The Clinical Coordinator functions as RN member of the Healthcare team in a manner consistent with their scope of practice in Pennsylvania in concert with the policies and procedures of St"" → [""Healthcare""/In-SK]"
13,"Sentence[22]: ""The RN is responsible for assessment planning  implementation  evaluation   documentation of care provided  and patient response to interventions in the Operating Room"" → [""planning""/In-SK, ""evaluation""/In-SK, ""documentation""/In-SK]"
14,"Sentence[43]: ""Christopher s Hospital for ChildrenJob Type Full timeShift Type DaysJob Number 1705038032JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
15,"Sentence[71]: ""Skills   Abilities    Knowledge of current trends in Operating Room Nursing   Commitment to excellence in patient care   Effective interpersonal skills   Demonstrates accountability and professionalism   Adapts to change in a positive  professional manner   Commitment to customer service   Must be able to demonstrate the knowledge and sills necessary to provide care based on physical  psychological  developmental  social  educational  safety  and related criteria  appropriate to the age of the patients served in their service area"" → [""Skills""/In-SK, ""skills""/In-SK, ""accountability""/In-SK, ""professionalism""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""service""/In-SK]"
16,"Sentence[27]: ""  Participates in continuous performance improvement activities   Must have demonstrated knowledge of service specific technology Qualifications Training   Education  Graduate of an accredited School of Nursing  B S N"" → [""Training""/In-SK, ""Education""/In-SK]"
17,"Sentence[95]: ""ACLS asapplicable by Facility/by Department  ER  ICU  Endoscopy  Tele  Cardiac Cath Lab  L D  ACLSrequired upon orientation completion   ER  PALS or ENPC required or must obtain within ninety days  PACU  ACLS required or must obtain within six months of hire PALS preferred   Post partum  Nursery  L D  NRP required upon orientationcompletion   Bariatric  Certification or specialized training in bariatricspecialty area of practice  Wound Care  Wound Ostomy Certification or Training in Wound Careand/or Ostomy Care REQUIRED COURSE S  TRAINING L D only Advanced Fetal Monitoring or must obtain within six months of hire"" → [""training""/In-SK, ""Training""/In-SK, ""TRAINING""/In-SK]"
18,"Sentence[57]: ""Updated12/09/09 Job Cardio/Coronary/TelePrimary Location AZ PhoenixHospital/Facility Abrazo Scottsdale CampusJob Type Full timeShift Type NightsJob Number 1705038768JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
19,"Sentence[56]: ""Job Description   Patient Service Center Rep for Full Time shifts at St Vincent Hospital  1705040674  Patient Service Center Rep for Full Time shifts at St Vincent HospitalDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide"" → [""healthcare""/In-SK]"
20,"Sentence[55]: ""Office Work EnvironmentTRAVELApproximately 5  travel may be requiredJob Conifer Health SolutionsPrimary Location MA WorcesterHospital/Facility VanguardJob Type Full timeShift Type DaysJob Number 1705040674JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
21,"Sentence[264]: ""Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Minimum typing skills of 35 wpmAbility to work in multiple systems  support multiple facilities  and if appplicable support other financial clearance teamsDemonstrated working knowledge of PC/CRT/printerKnowledge of function and relationships within a hospital environment preferredCustomer service skills and experienceAbility to work in a fast paced environmentAbility to receive and express detailed information through oral and written communicationsCourse in Medical Terminology requiredUnderstanding of Third Party Payor requirements requiredUnderstanding of Compliance standards requiredMust be able to perform essential job duties with at least two Patient Service Center teams Uses proper negotiation techniques to professionally collect money owed by our Patients/Guarantors Builds and maintains collaborative relationships with both internal and external Clients that lead to more effective communication and a higher level of productivity and accuracy Must be able to appropriately interpret physician orders  medical terminology and insurance cards while maintaining Conifer Standards of Care EDUCATION / EXPERIENCEInclude minimum education  technical training  and/or experience preferred to perform the job 2  years of experience in a customer service skills with basic typing ability and working knowledge of a Windows based computer environment 2  years of experience in a call center environment or similar customer service experience preferredHigh school diploma or GED requiredSome college coursework is preferredREQUIRED CERTIFICATIONS/LICENSUREInclude minimum certification required to perform the job N/APHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job"" → [""typing""/In-SK, ""skills""/In-SK, ""service""/In-SK, ""skills""/In-SK, ""Service""/In-SK, ""negotiation""/In-SK, ""communication""/In-SK, ""insurance""/In-SK, ""EDUCATION""/In-SK, ""education""/In-SK, ""training""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""skills""/In-SK, ""typing""/In-SK, ""Windows""/In-SK, ""customer""/In-SK, ""service""/In-SK]"
22,"Sentence[153]: ""Job Description   RN Telemetry FT Days Lakewood Regional  1705038691  RN Telemetry FT Days Lakewood RegionalDescription The Registered Professional Nurse is responsible for thedelivery of patient care  utilizing the nursing process for assessment planning  implementation and evaluation while meeting competently all safeexpectations of a nurse Qualifications Mandatory a Current RN Licenseb Current BLS ProviderPreferred Acute hospital experienceI Current unit certifications as indicated below ACLS RequiredNew Grads are required to get ACLS within successful completion of the Nursing orientation program II Training and/or experience 1 Basic Critical Care Course or equivalent on the job training as validated by competency assessment Job Cardio/Coronary/TelePrimary Location CA LakewoodHospital/Facility Lakewood Regional Medical CenterJob Type Full timeShift Type DaysJob Number 1705038691JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""planning""/In-SK, ""evaluation""/In-SK, ""Training""/In-SK, ""training""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
23,"Sentence[80]: ""and be able to push/pull  climb  stoop  kneel  walk  sit crouch/squat  crawl  flex/position/twist  stand  hold  and reach Job Maintenance  Food Service Housekeeping and SecurityPrimary Location TX San AntonioHospital/Facility North Central Baptist HospitalJob Type Full timeShift Type DaysJob Number 1705040791JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
24,"Sentence[80]: ""Job Description   Biomedical Technician  FT40 Days  North Central Baptist Hospital  1705040791  Biomedical Technician  FT40 Days  North Central Baptist HospitalDescription Maintains  operates  tests  inspects  pm s and repairsmedical and non medical equipment including Anesthesia Ventilators  CardiacMonitoring  Laboratory and Respiratory Therapy Ventilators Qualifications EDUCATION High School Graduate or equivalent EXPERIENCE  Two years inbiomedical electronics repair shop PHYSICAL REQUIREMENTS Must have eye/hand/foot coordination  finger/fine dexterity and be able tohandle/grip/squeeze and perform repetitive activity"" → [""EDUCATION""/In-SK, ""electronics""/In-SK]"
25,"Sentence[54]: ""Job Patient AccessPrimary Location CA Fountain ValleyHospital/Facility Fountain Valley Regional Hospital and Medical CenterJob Type Full timeShift Type DaysJob Number 1705040660JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
26,"Sentence[54]: ""Job Description   Patient Access Rep for Full Time shifts at Fountain Valley Hospital  1705040660  Patient Access Rep for Full Time shifts at Fountain Valley HospitalDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide"" → [""healthcare""/In-SK]"
27,"Sentence[60]: ""In addition  the OB Scrub Technician participates in the delivery of patient care by providing surgical technology services Qualifications Has successfully completed an accredited educational program for surgical technologist  or has successfully completed a training program for surgical technology in the Army  Navy  Marine Corps or Coast Guard of the United States or in the United States Public Health Service"" → [""training""/In-SK]"
28,"Sentence[89]: ""Or has successfully completed an accredited school of surgical technology but has not  as of the date of hire  obtained the certified technologist certification required  provided  however  that such certification shall be obtained within 12 months of th raduation dateJob Nursing Assistants and PCAPrimary Location MA WorcesterHospital/Facility Saint Vincent HospitalJob Type PT1Shift Type RotateJob Number 1705018523JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
29,"Sentence[146]: ""Job Description   RN II  ER  Full Time Nights  1705040775  RN II  ER  Full Time NightsDescription Provides nursing care  including triage  treatment and discharge care for the Emergency Department patients  from newborns to geriatrics Qualifications Required Training/Education/Experience/Certification Current CA RN LicenseCurrent BLS  ACLS  PALS CertificationsMust complete TNCC Certification within 6 months of hire or transfer into position Previous Emergency Room experience One year minimum acute care experience Ability to assess and anticipate the needs of the Emergency department patient newborns to geriatrics Ability to learn and use emergency equipment Job NursingPrimary Location CA San Luis ObispoHospital/Facility Sierra Vista Regional Medical CenterJob Type Full timeShift Type NightsJob Number 1705040775JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Training""/In-SK, ""Education""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
30,"Sentence[98]: ""Upon ATT  the Nurse Tech may transitioninto a Graduate Nurse requiring a new Job Description Qualifications Graduated or currently enrolled in last semester of an accredited nursingprogramCurrent BLS for health care providersMust be eligible for state Registered Nurse licensing exam  NCLEX  atcompletion of last semesterJob Laboratory and Clinical TechniciansPrimary Location TX El PasoHospital/Facility The Hospitals of Providence Memorial CampusJob Type PT2YShift Type NightsJob Number 1705040583JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
31,"Sentence[70]: ""American Heart Association BLS  Minimum Experience  Recent acute care hospital experience as a ward secretary or monitor technician Job NursingPrimary Location CA Fountain ValleyHospital/Facility Fountain Valley Regional Hospital and Medical CenterJob Type PT2YShift Type RotateJob Number 1705029917JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
32,"Sentence[60]: ""Job Description   Monitor Tech Floatpool PerDiem Varied Shifts  1705029917  Monitor Tech Floatpool PerDiem Varied ShiftsDescription Monitor Tech   Floatpool   PerDiem   Varied Shifts  Demonstrates knowledge of disarrhythmias  patient diagnosis  history and specific cardiac medications   Notifies nurses and physicians both in writing and verbally regarding patient rhythms   Assures alarms are set on each patient   Demonstrates skills in handling cardiac monitors and related equipment"" → [""writing""/In-SK, ""skills""/In-SK]"
33,"Sentence[3]: ""Submits completed billing"" → [""billing""/In-SK]"
34,"Sentence[67]: ""Job Description   RESPIRATORY TECH PER DIEM ROTATE  1705040290  RESPIRATORY TECH PER DIEM ROTATEDescription RESPIRATORY THERAPIST PER DIEM ROTATE FOUNTAIN VALLEYProvides safe and effective care in the following areas per Department policy  Medical Gas Administration  Aerosol Therapy  Chest Physical Therapy  IPPB Therapy  CPR/Airway Management  Pulmonary Screens  Incentive Spirometry  pulse Oximetry  Patient Assessment  Blood Gas Sampling  Analysis and Quality Control  Sputum Induction Cleans  maintains  assembles equipment correctly"" → [""Administration""/In-SK, ""Management""/In-SK, ""Analysis""/In-SK, ""Quality""/In-SK, ""Control""/In-SK]"
35,"Sentence[7]: ""Provides patient instruction and education as needed"" → [""education""/In-SK]"
36,"Sentence[18]: ""Is completely familiar with assigned patients  including chest X rays  pertinent lab requests  diagnosis and acid base status"" → [""requests""/In-SK]"
37,"Sentence[73]: ""All RCP s working with ventilator management in PICU/NICU must have PALS and NRP Job Phlebotomy/Blood/Medical AsstPrimary Location CA Fountain ValleyHospital/Facility Fountain Valley Regional Hospital and Medical CenterJob Type PT2YShift Type RotateJob Number 1705040290JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""ventilator""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
38,"Sentence[52]: ""Maintains current American Heart Association  NRP  mandatory in NICU or  PALS   mandatory in PICU or Both when working in both specialty areas Qualifications RESPIRATORY THERAPIST PER DIEM ROTATE FOUNTAIN VALLEY Minimum Education  Knowledge necessary to obtain Respiratory Care Practitioner license in the state of California and current California Respiratory Care Practitioner license"" → [""Education""/In-SK]"
39,"Sentence[102]: ""Or has successfully completed an accredited school of surgical technology but has not  as of the date of hire  obtained the certified technologist certification required  provided  however  that such certification shall be obtained within 12 months of th raduation dateJob Obstetric/Women Wing/Labor   DeliveryPrimary Location MA WorcesterHospital/Facility Saint Vincent HospitalJob Type PT1Shift Type EveningShift begin time 2 45 AMShift end time 11 15 PMJob Number 1705003439JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
40,"Sentence[64]: "" Phlebotomy certificate and one year of phlebotomy experience preferred Job Phlebotomy/Blood/Medical AsstPrimary Location CA Los AlamitosHospital/Facility Los Alamitos Medical CenterJob Type Full timeShift Type EveningJob Number 1705040478JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
41,"Sentence[220]: ""Scribes do notparticipate in any patient care and should refer all requests related topatient care to the responsible physician or nursing staff  including  but notlimited to  transporting specimens  answering phones  assisting patients calling physicians  etc Qualifications      No      Description        1        Accompany  the physician during patient interview and examination        2        Document the  physician dictated patient history  including history of present illness   review of systems  past medical and surgical history  family and social  histories  medications and allergies        3        Document  physical examination findings and procedures as performed by the physician   Document results of laboratory and radiographic studies as dictated by the  physician         4        Document  the correct time of patient care related activities  including physician to  physician communication  family communication and re examination of the  patient         5        Complete  and present the medical record in collaboration with the supervising  physician        6        The physician and the Scribe will make   chart rounds  to review patient status  delays  and any other care related  issues        7        Maintain  and demonstrate an understanding of the team approach to patient care and  documentation   Job Clerical/AdministrativePrimary Location FL MiamiHospital/Facility Tenet Florida Physician ServicesJob Type PT2YShift Type DaysJob Number 1705036690JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""requests""/In-SK, ""communication""/In-SK, ""communication""/In-SK, ""supervising""/In-SK, ""documentation""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
42,"Sentence[11]: ""The physician is ultimatelyresponsible for documentation of the patient s encounter"" → [""documentation""/In-SK]"
43,"Sentence[33]: ""Qualifications Associates Degree  ICD coding  TNM Staging  Medical Terminology and Anatomy/Physiology  Three to five years Registry experience in approved Cancer Program  Minimum two years supervisory experience  Extensive knowledge of ACoS requirements"" → [""coding""/In-SK]"
44,"Sentence[59]: ""Job Medical CodingPrimary Location MA WorcesterHospital/Facility Saint Vincent HospitalJob Type Full timeShift Type DaysShift begin time 8 00 AMShift end time 4 30 PMJob Number 1605016238JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
45,"Sentence[10]: ""Maintains CPR certification and continuing education requirements for re certification"" → [""education""/In-SK]"
46,"Sentence[76]: ""Remains professional with staff  patients and physicians Qualifications Minimum RequirementsCurrent certification as a Surgical Technologist Current BLS certification approved by the American Heart Job Surgical ServicesPrimary Location FL Palm Beach GardensHospital/Facility Palm Beach Gardens Medical CenterJob Type Full timeShift Type DaysJob Number 1705040603JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
47,"Sentence[71]: ""SPD Tech certification or Surgical Scrub Tech certificate Job Laboratory and Clinical TechniciansPrimary Location MA WorcesterHospital/Facility Saint Vincent HospitalJob Type Full timeShift Type 8 Hour DayShift begin time 2 30 PMShift end time 11 00 PMJob Number 1605060702JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
48,"Sentence[140]: ""Job Description   RN NURSE PRACT  Ambulatory Care Clinic  PerDiem  1605047534  RN NURSE PRACT  Ambulatory Care Clinic  PerDiemDescription To provide professional medical services to patients  The Nurse Practitioner will provide health care through evaluation  diagnosis and treatment as deemed appropriate to specific office setting  Qualifications Graduate of an approved Nurse Practitioner Program  Able to read write and speak English Two years  experience in full scope family practice preferred but will consider new graduates  MA State Licensure   Advanced Nursing Board CertificationBLS required  ACLS preferred  Fulfills other credentialing requirements under the purview of Medical Staff Services Job NursingPrimary Location MA WorcesterHospital/Facility Saint Vincent HospitalJob Type PT1Shift Type DaysJob Number 1605047534JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""evaluation""/In-SK, ""English""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
49,"Sentence[77]: ""Occasional evening and weekend work Mental/Physical Requirements  Involves sitting approximately 75 percent of the day  walking or standing the remainder  using computers and telephones Job Clerical/AdministrativePrimary Location Michigan West BloomfieldHospital/Facility DMC Medical GroupJob Type Full timeShift Type DaysJob Number 1705028542JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
50,"Sentence[36]: ""Certification  Prefer healthcare management/administration certification Experience  Must have a minimum of 2 years of experience working in a medical office setting Other Requirements  NonePerformance Requirements Knowledge Knowledge of third party payers regulations and requirements"" → [""healthcare""/In-SK, ""administration""/In-SK]"
51,"Sentence[103]: ""Office Work EnvironmentHospital Work EnvironmentOTHERMust be able to travel nationally as needed  not to exceed 10 Job HIMPrimary Location TexasOther Locations North Dakota  Maryland  Missouri  Washington  Minnesota  Kentucky  Massachusetts  Florida  Montana  North Carolina  New Jersey  South Dakota  Michigan  Connecticut  Illinois  South Carolina  Oregon  Pennsylvania  New Hampshire  Idaho  New York  Arkansas  Tennessee  Rhode Island  Iowa  Colorado  Alabama  Ohio  California  Louisiana  Indiana  New Mexico  Arizona  Georgia  KansasJob Type Full timeShift Type DaysJob Number 1705040886JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
52,"Sentence[20]: ""Others may be assigned Coding  Reviews medical records for the determination of accurate assignment of all documented diagnoses and procedures"" → [""Coding""/In-SK]"
53,"Sentence[231]: ""Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Knowledge of MS DRG classification and reimbursement structuresUnderstanding of appropriate level of care orders Working knowledge of Value Based Purchasing  VBP Proficient at writing AHIMA complaint physician queriesAdept at comparing documentation  code assignment and charge in the financial system for accuracy and completeness and elevating concerns to the appropriate managerProficient in researching and responding to Business Office questions and/or question by the payerAbility to establish and maintain effective working relationships as required by the duties of the positionAbility to concentrate and accomplish tasks with explicit accuracyAbility to use office equipment and automated systems/applications/software at an acceptable level of proficiencyFunctional knowledge of facility EMR  encoder and other support softwareEDUCATION / EXPERIENCEInclude minimum education  technical training  and/or experience preferred to perform the job One to three years  experience performing medical record coding in acute care setting requiredHigh school graduate or equivalent is required Associate or Bachelor s Degree in Health Information  Nursing  or other related field  or formal coding classes completed and passed preferred  Years of coding experience would be considered in lieu of educational requirements CERTIFICATES  LICENSES  REGISTRATIONSRequired  AHIMA or AAPC approved credentialPHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job"" → [""Purchasing""/In-SK, ""writing""/In-SK, ""documentation""/In-SK, ""researching""/In-SK, ""EMR""/In-SK, ""education""/In-SK, ""training""/In-SK, ""coding""/In-SK, ""coding""/In-SK, ""coding""/In-SK]"
54,"Sentence[38]: ""Job Description   Inpatient Coder   Remote  1705040886  Inpatient Coder   RemoteDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide"" → [""healthcare""/In-SK]"
55,"Sentence[48]: ""Adheres to Standards of Ethical Coding  AHIMA  Abstracting  Reviews medical records to determine accurate required abstracting elements  facility/client specific elements  including appropriate discharge disposition Coding Quality  Demonstrates ability to achieve accuracy and consistency in the selection of principal and secondary diagnoses  including MCC   CC  and procedures"" → [""Coding""/In-SK, ""Coding""/In-SK]"
56,"Sentence[77]: ""Are you ready to be part of our solutions  Welcome to the company that gives you the resources and incentives to redefine healthcare services  with a competitive benefits package and leadership to take your career to the next step JOB SUMMARY Responsible for assigning diagnostic and procedural codes to patient charts of moderate to high complexity using ICD 10 CM  CPT and HCPCS or any other designated coding classification system in accordance with coding rules and regulations"" → [""healthcare""/In-SK, ""leadership""/In-SK, ""coding""/In-SK, ""coding""/In-SK]"
57,"Sentence[26]: ""Abides by the Standards of Ethical Coding as set forth by AHIMA  Abstracting required clinical information from the medical record  ESSENTIAL DUTIES AND RESPONSIBILITIESInclude the following"" → [""Coding""/In-SK]"
